
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
SVM,11===31,0.25,0.9666666666666667,0.8904109589041096,1.0
RF,11===31,0.25,0.9833333333333333,0.958904109589041,1.0
LogReg,11===45,0.25,1.0,1.0,1.0
LSVM,11===45,0.25,1.0,1.0,1.0
SVM,11===45,0.25,1.0,1.0,1.0
RF,11===45,0.25,1.0,1.0,1.0
LogReg,11===44,0.25,1.0,1.0,1.0
LSVM,11===44,0.25,1.0,1.0,1.0
SVM,11===44,0.25,1.0,1.0,1.0
RF,11===44,0.25,1.0,1.0,1.0
LogReg,11===41,0.25,1.0,1.0,1.0
LSVM,11===41,0.25,1.0,1.0,1.0
SVM,11===41,0.25,1.0,1.0,1.0
RF,11===41,0.25,1.0,1.0,1.0
LogReg,11===34,0.25,1.0,0.3333333333333333,1.0
LSVM,11===34,0.25,1.0,1.0,1.0
SVM,11===34,0.25,1.0,1.0,1.0
RF,11===34,0.25,1.0,1.0,1.0
LogReg,11===17,0.25,0.8117647058823529,0.975,0.7472527472527473
LSVM,11===17,0.25,0.8941176470588236,0.975,0.8131868131868132
SVM,11===17,0.25,0.9882352941176471,0.95,1.0
RF,11===17,0.25,1.0,1.0,0.989010989010989
LogReg,11===20,0.25,0.7865168539325843,0.8888888888888888,1.0
LSVM,11===20,0.25,0.8764044943820225,1.0,1.0
SVM,11===20,0.25,0.9662921348314607,0.9444444444444444,1.0
RF,11===20,0.25,0.9438202247191011,1.0,1.0
LogReg,12===18,0.25,0.5166666666666667,0.696969696969697,1.0
LSVM,12===18,0.25,0.5666666666666667,0.8333333333333334,1.0
SVM,12===18,0.25,0.9666666666666667,0.7575757575757576,1.0
RF,12===18,0.25,0.9833333333333333,1.0,1.0
LogReg,12===7,0.25,1.0,1.0,1.0
LSVM,12===7,0.25,1.0,1.0,1.0
SVM,12===7,0.25,1.0,1.0,1.0
RF,12===7,0.25,1.0,1.0,1.0
LogReg,12===42,0.25,0.9404761904761905,0.9880952380952381,1.0
LSVM,12===42,0.25,0.9285714285714286,1.0,1.0
SVM,12===42,0.25,1.0,1.0,1.0
RF,12===42,0.25,1.0,1.0,1.0
LogReg,12===28,0.25,1.0,1.0,1.0
LSVM,12===28,0.25,1.0,1.0,1.0
SVM,12===28,0.25,1.0,1.0,1.0
RF,12===28,0.25,1.0,1.0,1.0
LogReg,12===48,0.25,0.9240506329113924,0.9367088607594937,1.0
LSVM,12===48,0.25,0.9746835443037974,1.0,1.0
SVM,12===48,0.25,1.0,0.9873417721518988,1.0
RF,12===48,0.25,0.9746835443037974,1.0,1.0
LogReg,12===35,0.25,0.8787878787878788,0.9696969696969697,0.8285714285714286
LSVM,12===35,0.25,0.9393939393939394,0.9696969696969697,0.8571428571428571
SVM,12===35,0.25,0.9696969696969697,0.9696969696969697,1.0
RF,12===35,0.25,1.0,1.0,1.0
LogReg,12===0,0.25,0.8620689655172413,0.896551724137931,0.8043478260869565
LSVM,12===0,0.25,0.896551724137931,0.9310344827586207,0.782608695652174
SVM,12===0,0.25,0.9885057471264368,0.9310344827586207,1.0
RF,12===0,0.25,1.0,0.9655172413793104,1.0
LogReg,12===37,0.25,0.6395348837209303,0.7156862745098039,1.0
LSVM,12===37,0.25,0.7209302325581395,0.9215686274509803,1.0
SVM,12===37,0.25,0.9767441860465116,0.8235294117647058,1.0
