
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LogReg,11===7,0.25,1.0,1.0,1.0
LSVM,11===7,0.25,1.0,1.0,1.0
SVM,11===7,0.25,1.0,1.0,1.0
RF,11===7,0.25,1.0,1.0,1.0
LogReg,11===48,0.25,0.9069767441860465,0.813953488372093,1.0
LSVM,11===48,0.25,0.9302325581395349,0.9767441860465116,1.0
SVM,11===48,0.25,0.9767441860465116,0.8837209302325582,1.0
RF,11===48,0.25,1.0,0.9767441860465116,1.0
LogReg,11===5,0.25,1.0,0.9838709677419355,1.0
LSVM,11===5,0.25,0.9838709677419355,0.967741935483871,1.0
SVM,11===5,0.25,0.9838709677419355,0.9838709677419355,1.0
RF,11===5,0.25,0.9838709677419355,0.9838709677419355,1.0
LogReg,11===40,0.25,1.0,1.0,0.9375
LSVM,11===40,0.25,0.9875,0.95,0.9
SVM,11===40,0.25,0.9875,1.0,1.0
RF,11===40,0.25,0.9875,0.9875,1.0
LogReg,11===31,0.25,0.9454545454545454,0.8545454545454545,1.0
LSVM,11===31,0.25,0.9636363636363636,0.8181818181818182,1.0
SVM,11===31,0.25,0.9454545454545454,0.8545454545454545,1.0
RF,11===31,0.25,0.9454545454545454,0.9454545454545454,1.0
LogReg,11===45,0.25,1.0,1.0,1.0
LSVM,11===45,0.25,1.0,1.0,1.0
SVM,11===45,0.25,1.0,1.0,1.0
RF,11===45,0.25,1.0,1.0,1.0
LogReg,11===44,0.25,1.0,1.0,1.0
LSVM,11===44,0.25,1.0,1.0,1.0
SVM,11===44,0.25,1.0,1.0,1.0
RF,11===44,0.25,1.0,1.0,1.0
LogReg,11===41,0.25,1.0,1.0,1.0
LSVM,11===41,0.25,1.0,1.0,1.0
SVM,11===41,0.25,1.0,1.0,1.0
RF,11===41,0.25,1.0,1.0,1.0
LogReg,11===34,0.25,1.0,1.0,1.0
LSVM,11===34,0.25,1.0,1.0,1.0
SVM,11===34,0.25,1.0,1.0,1.0
RF,11===34,0.25,1.0,1.0,1.0
LogReg,11===17,0.25,0.8875,0.975,0.9
LSVM,11===17,0.25,0.9125,0.975,0.8875
SVM,11===17,0.25,0.925,1.0,0.9875
RF,11===17,0.25,0.9875,0.9875,0.9875
LogReg,11===20,0.25,0.9493670886075949,0.9367088607594937,1.0
LSVM,11===20,0.25,0.9746835443037974,0.9873417721518988,1.0
SVM,11===20,0.25,0.9620253164556962,0.9493670886075949,1.0
RF,11===20,0.25,0.9746835443037974,1.0,1.0
LogReg,12===18,0.25,0.8809523809523809,0.8095238095238095,1.0
LSVM,12===18,0.25,0.6904761904761905,0.9285714285714286,1.0
SVM,12===18,0.25,0.9047619047619048,0.9285714285714286,1.0
RF,12===18,0.25,0.9761904761904762,1.0,1.0
LogReg,12===7,0.25,1.0,1.0,1.0
LSVM,12===7,0.25,1.0,1.0,1.0
SVM,12===7,0.25,1.0,1.0,1.0
RF,12===7,0.25,1.0,1.0,1.0
LogReg,12===42,0.25,1.0,1.0,1.0
LSVM,12===42,0.25,1.0,1.0,1.0
SVM,12===42,0.25,1.0,1.0,1.0
RF,12===42,0.25,1.0,1.0,1.0
LogReg,12===28,0.25,1.0,1.0,1.0
LSVM,12===28,0.25,1.0,1.0,1.0
SVM,12===28,0.25,1.0,1.0,1.0
RF,12===28,0.25,1.0,1.0,1.0
LogReg,12===48,0.25,1.0,1.0,1.0
LSVM,12===48,0.25,1.0,1.0,1.0
SVM,12===48,0.25,1.0,1.0,1.0
RF,12===48,0.25,1.0,1.0,1.0
LogReg,12===35,0.25,0.96875,0.9375,1.0
LSVM,12===35,0.25,1.0,0.9375,0.9375
SVM,12===35,0.25,0.96875,0.96875,0.96875
RF,12===35,0.25,1.0,1.0,1.0
LogReg,12===0,0.25,0.975,0.9875,0.9875
LSVM,12===0,0.25,0.9625,0.975,1.0
SVM,12===0,0.25,0.9875,0.9875,1.0
RF,12===0,0.25,1.0,0.9875,1.0
LogReg,12===37,0.25,0.8873239436619719,0.971830985915493,1.0
LSVM,12===37,0.25,0.9014084507042254,0.9295774647887324,1.0
SVM,12===37,0.25,0.9436619718309859,0.9295774647887324,1.0
RF,12===37,0.25,0.9577464788732394,0.9436619718309859,1.0
LogReg,12===49,0.25,0.9466666666666667,0.92,1.0
LSVM,12===49,0.25,0.8666666666666667,0.9066666666666666,1.0
SVM,12===49,0.25,0.9466666666666667,0.9333333333333333,1.0
RF,12===49,0.25,0.96,0.9466666666666667,1.0
LogReg,12===33,0.25,0.9,0.8,1.0
LSVM,12===33,0.25,0.92,0.94,1.0
SVM,12===33,0.25,0.92,0.86,1.0
RF,12===33,0.25,1.0,0.96,1.0
LogReg,13===47,0.25,0.9,0.775,1.0
LSVM,13===47,0.25,0.875,0.925,1.0
SVM,13===47,0.25,0.9,0.85,1.0
RF,13===47,0.25,0.95,0.925,1.0
LogReg,13===22,0.25,1.0,1.0,1.0
LSVM,13===22,0.25,1.0,1.0,1.0
SVM,13===22,0.25,1.0,1.0,1.0
RF,13===22,0.25,1.0,1.0,1.0
LogReg,13===6,0.25,1.0,0.9436619718309859,1.0
LSVM,13===6,0.25,0.9436619718309859,0.9577464788732394,1.0
SVM,13===6,0.25,1.0,0.9577464788732394,1.0
RF,13===6,0.25,0.9577464788732394,1.0,1.0
LogReg,13===14,0.25,1.0,1.0,1.0
LSVM,13===14,0.25,1.0,1.0,1.0
SVM,13===14,0.25,1.0,1.0,1.0
RF,13===14,0.25,1.0,1.0,1.0
LogReg,13===21,0.25,0.9565217391304348,0.782608695652174,1.0
LSVM,13===21,0.25,0.8913043478260869,0.9347826086956522,1.0
SVM,13===21,0.25,0.9565217391304348,0.7608695652173914,1.0
RF,13===21,0.25,0.9782608695652174,0.9565217391304348,1.0
LogReg,13===43,0.25,1.0,1.0,0.9875
LSVM,13===43,0.25,1.0,1.0,1.0
SVM,13===43,0.25,1.0,1.0,0.9875
